id,name,lat,lng,category,description,author,difficulty,favorite,date_added,region
-OlJw567BhMq1A2zG7_9,Cardiff Graffiti Tunnel,33.0299962,-117.2740952,tunnel,Cool no homeless but be careful very long tunnel,Mike,1,True,2026-02-12 19:01:57,California
-OlJweFMtEjysBPAOS_W,Abandoned Structure,32.6857229,-116.9781098,building,Not that cool tbh low-key mid,John Doe,1,False,2026-02-12 19:04:25,California
-OlJxR-88w6tekupGB7S,Rodeway Inn Ruins,33.20487,-117.38472,building,This is the remains of an abandoned hotel in oceanside. homeless encampment nearby and they sometimes hang out here so be careful,John Doe,2,False,2026-02-12 19:07:49,California
-OlJxj-frdewCjKHTZMx,Abandoned Barn,33.0532605,-117.2247916,house,Cool lil abandoned barn not much to see but sum cool graffiti,John Doe,1,False,2026-02-12 19:09:06,California
-OlJyP9t9ODYiWkFIbxT,Abandoned Restaurant,33.0485213,-117.2922618,building,Cool spot unfortunately got boarded up comment if u able to get back in 🤞,John Doe,3,False,2026-02-12 19:09:32,California
-OlJyy4C7FnspriJkXpT,2 Abandoned Houses,33.0507311,-117.2904055,house,Cool houses in a nice areas don’t be spotted neighbors will snitch,John Doe,3,False,2026-02-12 19:11:59,California
-OlJzMgl7GoL3Ha-JqkQ,Abandoned House,33.0611047,-117.3013276,house,Cool house js hop fence,Liljoji831,2,False,2026-02-12 19:13:44,California
-OlK-crChN1F358QaV7p,Lookout,33.092512,-117.2989295,other,"There’s 2 ways to get to this spot, there’s a random rope fence that you can walk over and you’ll see a trail going straight up or you can follow the trail straight till you see a bench on a slight hill which is easier. Sometimes there’s a rope swing but sometimes there isn’t.",Liljoji831,1,False,2026-02-12 19:19:16,California
-OlK0802QcN_NLmCPfi1,Duck Pond Tunnel,33.16142,-117.27066,tunnel,short tunnel alright graff,Liljoji831,1,False,2026-02-12 19:21:28,California
-OlK0bmWJeqYfYxwBFDp,Super long endless tunnel,33.146040132111324,-117.33802746981382,tunnel,Super long like miles upon miles,liljoji831,1,False,2026-02-12 19:23:34,California
-OlK14T4SsiG1x-0k1fC,Abandoned Elementary school,33.2055534,-117.3371059,building,super sick big bando watch out for security and motion sensors js hop fence in back,Liljoji831,3,True,2026-02-12 19:25:36,California
-OlK2nqegDQG162XqhdJ,Abandoned Cow Farm,33.3484216,-117.1154815,building,Abandoned dairy and several buildings left over from an old San Diego Police Department K9 training facility. Really great graffiti on many of the buildings.,Liljoji831,0,False,2026-02-12 19:33:08,California
-OlK36RUSSKylBjz3CcT,bando house,33.4799213,-117.0476126,house,it’s cool watch out for bees tho,jake,3,False,2026-02-12 19:34:28,California
-OlK3TDhVZ9s0NRgebvb,abandoned sawmill,33.5536087,-117.2180564,building,,jake,3,False,2026-02-12 19:36:01,California
-OlK3ytWb2AY5CIExWN3,abandoned houses and barns,33.6563425,-117.2066271,house,"Contains a barn, houses, cars, a boat, a motorhome, and a lake during rainy months. The barn is slightly collapsed and there is a beehive. Would not reccomend trying to climb to the second floor. Most wood is rotted and old. Police patrol sometimes and theres a nosy neighbor next door, but I've gone multiple times without trouble. There are posted signs but the fences are knocked down. Along a main road. Overall worth exploring the houses, pretty dusty but a lot of old tech, books, and other finds.",jake,0,False,2026-02-12 19:38:15,California
-OlK4EO_lLTApcD75s9f,House,33.6418741,-117.2241463,house,"Along a main road and fenced off / signs posted, but pretty easy to get into because the fences are low. There's an open window into the house around the back. Lots of stuff inside the house. I'm 99% sure there's mold on the ceiling. Pretty cool to walk arouund in.",jake,0,False,2026-02-12 19:39:23,California
-OlK4WQNck1mK4U0NLx5,House,33.5630916,-117.2178799,building,pretty easy,Anonymous,0,False,2026-02-12 19:40:36,California
-OlK553_tDL9w99Gaz8d,Tunnel,33.5826,-117.6372,tunnel,it’s super hot inside,Anonymous,0,False,2026-02-12 19:43:07,California
-OlK5iL46nnNwQ_h4FUr,Ladera Tunnel (Homeless),33.5368197,-117.6424705,tunnel,Always angry homeless ppl so explore at ur own risk,jake,4,False,2026-02-12 19:45:52,California
-OlK6EkhYgEr3dYLtnRh,San Clemente Clown Tunnel,33.477919,-117.6276863,tunnel,cool graffiti of clowns,jake,0,False,2026-02-12 19:48:08,California
-OlK6yBy9FRrgQLHgfyi,Cool building,33.2225216,-117.3784374,building,"This place is very easy to access, nearby police force doesn’t give a shit if you enter and all the entrances are open, as well as broken windows on all sides. Easiest entrance and most discreet is the back side door with the broken glass. WARNING: there is glass everywhere so bring boots.",Liljoji831,0,False,2026-02-12 19:51:19,California
-OlK7Db29VIY8Cplrjx4,abandoned coffee shop,33.18906,-117.3734,building,no photos cuz phone was dead sorry but there’s motion sensors but if ur quick you’ll be good,liljoji831,3,False,2026-02-12 19:52:26,California
-OlK7_R4s1a6JB4oXkev,big lots for lease,33.1923777,-117.3608597,building,no way in and prolly covered in cameras and everything,liljoji831,5,False,2026-02-12 19:53:59,California
-OlK8E9-5yOln0yfPwX4,abandoned buffet,33.1797728,-117.3271732,building,sick spot,liljoji831,3,False,2026-02-12 19:56:50,California
-OlK9xBjuNPOmfaYoinR,The Jumping Turtle,33.1519727,-117.1967433,building,used to be a bar,liljoji831,2,False,2026-02-12 20:04:21,California
-OlKAJ7Rqw2KPt1yKXVC,The pink house,33.1303865,-117.1892401,house,no way in as of rn,liljoji831,3,False,2026-02-12 20:05:55,California
-OlKAcd2J-DhKb-YZw0I,discovery lake tunnel,33.1198,-117.17959,tunnel,Cool tunnel for beginners,Anonymous,1,False,2026-02-12 20:07:19,California
-OlKBBARMhyE6YHsc7na,abandoned burlington,33.1656117,-117.2178808,building,Super big bando security in the front but they suck if ur smart they won’t catch u,Anonymous,3,True,2026-02-12 20:09:44,California
-OlKBcwKNDRcJ_Ddxquw,abandoned shed,33.1350022,-117.1565864,building,"It’s the fourth unit from the back barbed wire fence. The door is unlocked, watch for people.",Anonymous,3,False,2026-02-12 20:11:42,California
